Subject	Date	Condition	Game	Request	Calls	callsyesno	intercepted	Location_filter	Season	Enjoy_Game	Finish	Game_Freq	Enjoy_Type	Interested	Distressed	Excited	Upset	Strong	Gulty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Gender	Purpose	Pos_Affect	Neg_Affect	Purpose_Qual	like	badgroup
1	12/3/2013 0:00	3	3	1	0	0	1	1	1	3	1	1	2	2	3	2	3	1	3	3	3	3	1	3	3	2	3	5	3	3	3	2	2	2	1	23	30	nothing	5	
2	12/3/2013 0:00	1	1	1	5	1	1	1	1	5	2	2	5	4	2	5	2	3	1	1	1	5	4	1	4	1	3	2	4	4	3	3	2	2	1	39	16	NO	10	
3	12/3/2013 0:00	4	1	2	10	1	1	1	1	4	2	3	2	3	1	3	1	2	1	1	1	1	2	1	2	1	1	2	3	2	1	3	1	2	1	22	11	No	6	
4	12/3/2013 0:00	2	2	1	5	1	1	1	1	2	1	4	2	3	2	2	1	1	2	1	4	2	1	1	4	2	1	2	1	3	3	4	1	1	1	22	19	To see how people reacted when having to shoot innocent people in a video game.	4	
5	12/5/2013 0:00	6	3	2	3	1	1	1	1	4	1	4	3	4	1	4	1	4	1	1	3	4	5	1	4	1	4	3	4	5	3	4	1	1	1	42	16	video games and emotion	7	
6	2/5/2014 0:00	5	2	2	0	0	1	1	1	3	1	2	2	3	2	1	3	1	2	2	1	1	1	2	4	3	1	3	2	4	1	4	2	2	1	22	21	The effect that violent video games have	5	
7	2/5/2014 0:00	1	1	1	NA	NA	0	1	1	4	2	3	3	4	2	3	2	3	1	1	1	3	3	1	4	1	2	1	3	3	1	2	1	2	1	30	12	Wasn't sure	7	
8	2/7/2014 0:00	4	1	2	5	1	1	1	1	4	2	6	3	4	1	5	2	4	1	1	1	4	4	1	1	1	3	1	4	4	2	4	1	1	1	37	12	To see how people reacted to a game they never played before. Or how different people show differnt emotions while playing video games.	7	
9	2/12/2014 0:00	6	3	2	20	1	1	1	1	5	2	7	5	5	1	5	1	5	1	1	1	5	4	1	5	1	5	1	5	5	1	5	1	1	1	49	10	to see how video games affect you	10	
10	2/12/2014 0:00	3	3	1	10	1	1	1	1	2	1	5	2	3	4	3	3	2	1	1	3	2	2	2	4	1	1	2	4	5	4	3	2	2	1	29	23	.	4	
